schema,table_name,indexdef,dup_count
auth,audit_log_entries,CREATE UNIQUE INDEX audit_log_entries_pkey ON auth.audit_log_entries USING btree (id),1
auth,audit_log_entries,CREATE INDEX audit_logs_instance_id_idx ON auth.audit_log_entries USING btree (instance_id),1
auth,flow_state,CREATE INDEX idx_auth_code ON auth.flow_state USING btree (auth_code),1
auth,flow_state,CREATE INDEX flow_state_created_at_idx ON auth.flow_state USING btree (created_at DESC),1
auth,flow_state,"CREATE INDEX idx_user_id_auth_method ON auth.flow_state USING btree (user_id, authentication_method)",1
auth,flow_state,CREATE UNIQUE INDEX flow_state_pkey ON auth.flow_state USING btree (id),1
auth,identities,CREATE INDEX identities_email_idx ON auth.identities USING btree (email text_pattern_ops),1
auth,identities,"CREATE UNIQUE INDEX identities_provider_id_provider_unique ON auth.identities USING btree (provider_id, provider)",1
auth,identities,CREATE INDEX identities_user_id_idx ON auth.identities USING btree (user_id),1
auth,identities,CREATE UNIQUE INDEX identities_pkey ON auth.identities USING btree (id),1
auth,instances,CREATE UNIQUE INDEX instances_pkey ON auth.instances USING btree (id),1
auth,mfa_amr_claims,CREATE UNIQUE INDEX amr_id_pk ON auth.mfa_amr_claims USING btree (id),1
auth,mfa_amr_claims,"CREATE UNIQUE INDEX mfa_amr_claims_session_id_authentication_method_pkey ON auth.mfa_amr_claims USING btree (session_id, authentication_method)",1
auth,mfa_challenges,CREATE UNIQUE INDEX mfa_challenges_pkey ON auth.mfa_challenges USING btree (id),1
auth,mfa_challenges,CREATE INDEX mfa_challenge_created_at_idx ON auth.mfa_challenges USING btree (created_at DESC),1
auth,mfa_factors,"CREATE UNIQUE INDEX mfa_factors_user_friendly_name_unique ON auth.mfa_factors USING btree (friendly_name, user_id) WHERE (TRIM(BOTH FROM friendly_name) <> ''::text)",1
auth,mfa_factors,CREATE UNIQUE INDEX mfa_factors_last_challenged_at_key ON auth.mfa_factors USING btree (last_challenged_at),1
auth,mfa_factors,"CREATE UNIQUE INDEX unique_phone_factor_per_user ON auth.mfa_factors USING btree (user_id, phone)",1
auth,mfa_factors,CREATE UNIQUE INDEX mfa_factors_pkey ON auth.mfa_factors USING btree (id),1
auth,mfa_factors,CREATE INDEX mfa_factors_user_id_idx ON auth.mfa_factors USING btree (user_id),1
auth,mfa_factors,"CREATE INDEX factor_id_created_at_idx ON auth.mfa_factors USING btree (user_id, created_at)",1
auth,oauth_authorizations,CREATE UNIQUE INDEX oauth_authorizations_pkey ON auth.oauth_authorizations USING btree (id),1
auth,oauth_authorizations,CREATE INDEX oauth_auth_pending_exp_idx ON auth.oauth_authorizations USING btree (expires_at) WHERE (status = 'pending'::auth.oauth_authorization_status),1
auth,oauth_authorizations,CREATE UNIQUE INDEX oauth_authorizations_authorization_code_key ON auth.oauth_authorizations USING btree (authorization_code),1
auth,oauth_authorizations,CREATE UNIQUE INDEX oauth_authorizations_authorization_id_key ON auth.oauth_authorizations USING btree (authorization_id),1
auth,oauth_clients,CREATE INDEX oauth_clients_deleted_at_idx ON auth.oauth_clients USING btree (deleted_at),1
auth,oauth_clients,CREATE UNIQUE INDEX oauth_clients_pkey ON auth.oauth_clients USING btree (id),1
auth,oauth_consents,CREATE UNIQUE INDEX oauth_consents_pkey ON auth.oauth_consents USING btree (id),1
auth,oauth_consents,CREATE INDEX oauth_consents_active_client_idx ON auth.oauth_consents USING btree (client_id) WHERE (revoked_at IS NULL),1
auth,oauth_consents,"CREATE INDEX oauth_consents_user_order_idx ON auth.oauth_consents USING btree (user_id, granted_at DESC)",1
auth,oauth_consents,"CREATE INDEX oauth_consents_active_user_client_idx ON auth.oauth_consents USING btree (user_id, client_id) WHERE (revoked_at IS NULL)",1
auth,oauth_consents,"CREATE UNIQUE INDEX oauth_consents_user_client_unique ON auth.oauth_consents USING btree (user_id, client_id)",1
auth,one_time_tokens,"CREATE UNIQUE INDEX one_time_tokens_user_id_token_type_key ON auth.one_time_tokens USING btree (user_id, token_type)",1
auth,one_time_tokens,CREATE UNIQUE INDEX one_time_tokens_pkey ON auth.one_time_tokens USING btree (id),1
auth,one_time_tokens,CREATE INDEX one_time_tokens_token_hash_hash_idx ON auth.one_time_tokens USING hash (token_hash),1
auth,one_time_tokens,CREATE INDEX one_time_tokens_relates_to_hash_idx ON auth.one_time_tokens USING hash (relates_to),1
auth,refresh_tokens,CREATE INDEX refresh_tokens_updated_at_idx ON auth.refresh_tokens USING btree (updated_at DESC),1
auth,refresh_tokens,"CREATE INDEX refresh_tokens_session_id_revoked_idx ON auth.refresh_tokens USING btree (session_id, revoked)",1
auth,refresh_tokens,CREATE INDEX refresh_tokens_parent_idx ON auth.refresh_tokens USING btree (parent),1
auth,refresh_tokens,"CREATE INDEX refresh_tokens_instance_id_user_id_idx ON auth.refresh_tokens USING btree (instance_id, user_id)",1
auth,refresh_tokens,CREATE INDEX refresh_tokens_instance_id_idx ON auth.refresh_tokens USING btree (instance_id),1
auth,refresh_tokens,CREATE UNIQUE INDEX refresh_tokens_token_unique ON auth.refresh_tokens USING btree (token),1
auth,refresh_tokens,CREATE UNIQUE INDEX refresh_tokens_pkey ON auth.refresh_tokens USING btree (id),1
auth,saml_providers,CREATE UNIQUE INDEX saml_providers_pkey ON auth.saml_providers USING btree (id),1
auth,saml_providers,CREATE UNIQUE INDEX saml_providers_entity_id_key ON auth.saml_providers USING btree (entity_id),1
auth,saml_providers,CREATE INDEX saml_providers_sso_provider_id_idx ON auth.saml_providers USING btree (sso_provider_id),1
