table_schema,table_name,column_name
auth,audit_log_entries,payload
public,accountants,subscription_status
public,accountants,subscription_tier
public,cleaning_companies,subscription_tier
public,cleaning_companies,subscription_status
public,earnings,payment_method
public,earnings,amount
public,earnings,status
public,earnings,invoice_number
public,earnings,id
public,earnings,worker_id
public,earnings,employer_id
public,earnings,created_at
public,earnings,job_id
public,earnings,description
public,earnings,currency
public,earnings,payment_date
public,employers,subscription_expires_at
public,employers,subscription_tier
public,employers,subscription_status
public,employers,subscription_start_date
public,employers,subscription_started_at
public,invoice_btw_declarations,revenue_0
public,invoice_btw_declarations,user_id
public,invoice_btw_declarations,balance
public,invoice_btw_declarations,updated_at
public,invoice_btw_declarations,input_vat
public,invoice_btw_declarations,revenue_21
public,invoice_btw_declarations,revenue_eu
public,invoice_btw_declarations,total_output_vat
public,invoice_btw_declarations,paid_at
public,invoice_btw_declarations,quarter
public,invoice_btw_declarations,id
public,invoice_btw_declarations,revenue_9
public,invoice_btw_declarations,notes
public,invoice_btw_declarations,year
public,invoice_btw_declarations,created_at
public,invoice_btw_declarations,submitted_at
public,invoice_btw_declarations,status
public,invoice_btw_declarations,output_vat_9
public,invoice_btw_declarations,output_vat_21
public,invoice_btw_declarations,revenue_export
public,invoice_clients,vat_number
public,invoice_clients,notes
public,invoice_clients,id
public,invoice_clients,nip_number
public,invoice_clients,is_active
public,invoice_clients,updated_at
public,invoice_clients,country
public,invoice_clients,kvk_number
public,invoice_clients,created_at
public,invoice_clients,city
public,invoice_clients,tax_id
public,invoice_clients,email
public,invoice_clients,phone
public,invoice_clients,address
public,invoice_clients,user_id
public,invoice_clients,contact_person
public,invoice_clients,type
public,invoice_clients,payment_term_days
public,invoice_clients,name
public,invoice_clients,postal_code
public,invoice_companies,logo_base64
public,invoice_companies,currency
public,invoice_companies,logo_url
public,invoice_companies,id
public,invoice_companies,bank_name
public,invoice_companies,default_payment_term_days
public,invoice_companies,address
public,invoice_companies,user_id
public,invoice_companies,bic
public,invoice_companies,default_vat_rate
public,invoice_companies,created_at
public,invoice_companies,mobile
public,invoice_companies,whatsapp
public,invoice_companies,updated_at
public,invoice_companies,phone
public,invoice_companies,eori_number
public,invoice_companies,email
public,invoice_companies,vat_number
public,invoice_companies,website
public,invoice_companies,city
public,invoice_companies,country
public,invoice_companies,postal_code
public,invoice_companies,iban
public,invoice_companies,name
public,invoice_companies,kvk_number
public,invoice_expenses,receipt_base64
public,invoice_expenses,updated_at
public,invoice_expenses,created_at
public,invoice_expenses,is_paid
public,invoice_expenses,receipt_url
public,invoice_expenses,invoice_id
public,invoice_expenses,client_id
public,invoice_expenses,deductible_percentage
public,invoice_expenses,is_deductible
public,invoice_expenses,supplier
public,invoice_expenses,notes
public,invoice_expenses,vat_rate
public,invoice_expenses,vat_amount
