policyname,tablename,permissive,roles,cmd,qual,with_check
earnings_delete,earnings,PERMISSIVE,{authenticated},DELETE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = ( SELECT auth.uid() AS uid)) AND (profiles.role = 'admin'::text))))",null
earnings_insert,earnings,PERMISSIVE,{authenticated},INSERT,null,"((employer_id = ( SELECT auth.uid() AS uid)) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = ( SELECT auth.uid() AS uid)) AND (profiles.role = 'admin'::text)))))"
earnings_select,earnings,PERMISSIVE,{authenticated},SELECT,"((worker_id = ( SELECT auth.uid() AS uid)) OR (employer_id = ( SELECT auth.uid() AS uid)) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = ( SELECT auth.uid() AS uid)) AND (profiles.role = 'admin'::text)))))",null
earnings_update,earnings,PERMISSIVE,{authenticated},UPDATE,"((employer_id = ( SELECT auth.uid() AS uid)) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = ( SELECT auth.uid() AS uid)) AND (profiles.role = 'admin'::text)))))",null
invoice_expenses_delete,invoice_expenses,PERMISSIVE,{authenticated},DELETE,(user_id = ( SELECT auth.uid() AS uid)),null
invoice_expenses_insert,invoice_expenses,PERMISSIVE,{authenticated},INSERT,null,(user_id = ( SELECT auth.uid() AS uid))
invoice_expenses_select,invoice_expenses,PERMISSIVE,{authenticated},SELECT,(user_id = ( SELECT auth.uid() AS uid)),null
invoice_expenses_update,invoice_expenses,PERMISSIVE,{authenticated},UPDATE,(user_id = ( SELECT auth.uid() AS uid)),null
invoice_invoices_delete,invoice_invoices,PERMISSIVE,{authenticated},DELETE,(user_id = ( SELECT auth.uid() AS uid)),null
invoice_invoices_insert,invoice_invoices,PERMISSIVE,{authenticated},INSERT,null,(user_id = ( SELECT auth.uid() AS uid))
invoice_invoices_select,invoice_invoices,PERMISSIVE,{authenticated},SELECT,"((EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))) OR (user_id = auth.uid()))",null
invoice_invoices_update,invoice_invoices,PERMISSIVE,{authenticated},UPDATE,(user_id = ( SELECT auth.uid() AS uid)),null
subscriptions_delete,subscriptions,PERMISSIVE,{authenticated},DELETE,(employer_id = ( SELECT auth.uid() AS uid)),null
subscriptions_insert,subscriptions,PERMISSIVE,{authenticated},INSERT,null,(employer_id = ( SELECT auth.uid() AS uid))
subscriptions_select,subscriptions,PERMISSIVE,{authenticated},SELECT,(employer_id = ( SELECT auth.uid() AS uid)),null
subscriptions_update,subscriptions,PERMISSIVE,{authenticated},UPDATE,(employer_id = ( SELECT auth.uid() AS uid)),null
