event_message,id,identifier,method,path,search,status_code,timestamp
GET | 200 | 54.220.170.6 | 99da7b985deabe54 | https://dtnotuyagygexmkyqtgb.supabase.co/auth/v1/health | @supabase-infra/mgmt-api/c3494d4,3a5e89dc-5594-4d06-9c61-70e9a9699fed,dtnotuyagygexmkyqtgb,GET,/auth/v1/health,null,200,1762997205821000
HEAD | 200 | 54.220.170.6 | 99da7b985cad9576 | https://dtnotuyagygexmkyqtgb.supabase.co/rest-admin/v1/ready | @supabase-infra/mgmt-api/c3494d4,e55c3fba-1a29-4562-a612-2a166a19919a,dtnotuyagygexmkyqtgb,HEAD,/rest-admin/v1/ready,null,200,1762997205819000
HEAD | 200 | 54.220.170.6 | 99da79e70981122c | https://dtnotuyagygexmkyqtgb.supabase.co/rest-admin/v1/ready | @supabase-infra/mgmt-api/c3494d4,eeb5a125-9ee7-4635-b58c-39b4b19c32eb,dtnotuyagygexmkyqtgb,HEAD,/rest-admin/v1/ready,null,200,1762997136492000
GET | 200 | 54.220.170.6 | 99da79e70faed08c | https://dtnotuyagygexmkyqtgb.supabase.co/auth/v1/health | @supabase-infra/mgmt-api/c3494d4,e598afe3-5f98-4af7-ae47-881b64f3ccfa,dtnotuyagygexmkyqtgb,GET,/auth/v1/health,null,200,1762997136488000
GET | 200 | 54.220.170.6 | 99da786bcaf29585 | https://dtnotuyagygexmkyqtgb.supabase.co/auth/v1/health | @supabase-infra/mgmt-api/c3494d4,a2f33ae4-9546-4b1c-9d63-bae1d4a3b1a7,dtnotuyagygexmkyqtgb,GET,/auth/v1/health,null,200,1762997075816000
HEAD | 200 | 54.220.170.6 | 99da786bcc47f0e7 | https://dtnotuyagygexmkyqtgb.supabase.co/rest-admin/v1/ready | @supabase-infra/mgmt-api/c3494d4,fb3f387f-5819-4264-bebd-f5b26f5dddc6,dtnotuyagygexmkyqtgb,HEAD,/rest-admin/v1/ready,null,200,1762997075809000
"GET | 200 | 92.210.201.73 | 99da6a3d1a0adc7d | https://dtnotuyagygexmkyqtgb.supabase.co/rest/v1/notifications?select=*&user_id=eq.47f06296-a087-4d63-b052-1004e063c467&order=created_at.desc&limit=20 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",21354b69-3429-43dc-a974-e5789518f306,dtnotuyagygexmkyqtgb,GET,/rest/v1/notifications,?select=*&user_id=eq.47f06296-a087-4d63-b052-1004e063c467&order=created_at.desc&limit=20,200,1762996494902000
"GET | 200 | 92.210.201.73 | 99da6a3cb984dc7d | https://dtnotuyagygexmkyqtgb.supabase.co/rest/v1/notifications?select=*&user_id=eq.47f06296-a087-4d63-b052-1004e063c467&order=created_at.desc&limit=20 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",b5798c6a-e24a-4fc4-8e56-376431c04ad0,dtnotuyagygexmkyqtgb,GET,/rest/v1/notifications,?select=*&user_id=eq.47f06296-a087-4d63-b052-1004e063c467&order=created_at.desc&limit=20,200,1762996494843000
"GET | 500 | 92.210.201.73 | 99da6a3cb983dc7d | https://dtnotuyagygexmkyqtgb.supabase.co/rest/v1/messages?select=*%2Csender_profile%3Aprofiles%21messages_sender_id_fkey%28full_name%2Cemail%2Crole%2Cid%29&recipient_id=eq.47f06296-a087-4d63-b052-1004e063c467&order=created_at.desc | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",9d20ffb9-0ef5-4b4a-859d-feb7d73a9460,dtnotuyagygexmkyqtgb,GET,/rest/v1/messages,?select=*%2Csender_profile%3Aprofiles%21messages_sender_id_fkey%28full_name%2Cemail%2Crole%2Cid%29&recipient_id=eq.47f06296-a087-4d63-b052-1004e063c467&order=created_at.desc,500,1762996494842000
"GET | 500 | 92.210.201.73 | 99da6a3c48dedc7d | https://dtnotuyagygexmkyqtgb.supabase.co/rest/v1/messages?select=*%2Csender_profile%3Aprofiles%21messages_sender_id_fkey%28full_name%2Cemail%2Crole%2Cid%29&recipient_id=eq.47f06296-a087-4d63-b052-1004e063c467&order=created_at.desc | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",c4ff8eb5-2fec-49ce-8014-4dc250b7bfbc,dtnotuyagygexmkyqtgb,GET,/rest/v1/messages,?select=*%2Csender_profile%3Aprofiles%21messages_sender_id_fkey%28full_name%2Cemail%2Crole%2Cid%29&recipient_id=eq.47f06296-a087-4d63-b052-1004e063c467&order=created_at.desc,500,1762996494773000
